#S                                              mean_x                                      mean_xp
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 1.000029402317994531e+00 2.940246207650101307e-04
3.100000000000000533e-01 1.000061745026278759e+00 2.940246207650101307e-04
4.200000000000000400e-01 1.000094087734562986e+00 2.940246207650101307e-04
5.300000000000000266e-01 1.000126430442847214e+00 2.940246207650101307e-04
6.400000000000001243e-01 1.000158773151131442e+00 2.940246207650101307e-04
7.500000000000000000e-01 1.000191115859415669e+00 2.940246207650101307e-04
7.500000000000000000e-01 1.000191115859415669e+00 2.940246207650101307e-04
1.050000000000000044e+00 9.971802351138594478e-01 -2.035619102046246076e-02
1.350000000000000089e+00 9.879900181989148544e-01 -4.088026321939708385e-02
1.649999999999999911e+00 9.726774151400509050e-01 -6.115100820602924897e-02
1.949999999999999956e+00 9.513373152246772380e-01 -8.104281203087135288e-02
2.250000000000000000e+00 9.241019589912878862e-01 -1.004324089707199913e-01
2.250000000000000000e+00 9.241019589912878862e-01 -1.004324089707199913e-01
2.359999999999999876e+00 9.130543940045087181e-01 -1.004324089707200052e-01
2.470000000000000195e+00 9.020068290177295500e-01 -1.004324089707200190e-01
2.580000000000000071e+00 8.909592640309503819e-01 -1.004324089707200329e-01
2.689999999999999947e+00 8.799116990441712138e-01 -1.004324089707200468e-01
2.799999999999999822e+00 8.688641340573920457e-01 -1.004324089707200607e-01
2.799999999999999822e+00 8.688641340573920457e-01 -1.004324089707200607e-01
3.199999999999999734e+00 8.285905613726701757e-01 -1.009315073354551673e-01
3.309999999999999609e+00 8.174880955657700676e-01 -1.009315073354551534e-01
3.419999999999999929e+00 8.063856297588699595e-01 -1.009315073354551534e-01
3.529999999999999805e+00 7.952831639519698514e-01 -1.009315073354551534e-01
3.639999999999999680e+00 7.841806981450697434e-01 -1.009315073354551534e-01
3.750000000000000000e+00 7.730782323381696353e-01 -1.009315073354551534e-01
3.750000000000000000e+00 7.730782323381696353e-01 -1.009315073354551534e-01
4.049999999999999822e+00 7.404347499186344495e-01 -1.165792582878184824e-01
4.349999999999999645e+00 7.032029342468623101e-01 -1.315045897597545699e-01
4.650000000000000355e+00 6.616135037999473223e-01 -1.456150123121931206e-01
4.950000000000000178e+00 6.159241803645582047e-01 -1.588230863415525107e-01
5.250000000000000000e+00 5.664180919840730022e-01 -1.710469639263844099e-01
5.250000000000000000e+00 5.664180919840730022e-01 -1.710469639263844099e-01
5.360000000000000320e+00 5.476029259521707493e-01 -1.710469639263844099e-01
5.469999999999999751e+00 5.287877599202684964e-01 -1.710469639263844099e-01
5.580000000000000071e+00 5.099725938883662435e-01 -1.710469639263844099e-01
5.690000000000000391e+00 4.911574278564639351e-01 -1.710469639263844099e-01
5.799999999999999822e+00 4.723422618245616267e-01 -1.710469639263844099e-01
5.799999999999999822e+00 4.723422618245616267e-01 -1.710469639263844099e-01
6.000000000000000000e+00 4.381464217188446586e-01 -1.709131128492055174e-01
6.000000000000000000e+00 4.381464217188446586e-01 -1.709131128492055174e-01
6.200000000000000178e+00 4.039763466539668668e-01 -1.707893122554135223e-01
6.310000000000000497e+00 3.851895223058713902e-01 -1.707893122554135223e-01
6.419999999999999929e+00 3.664026979577759136e-01 -1.707893122554135223e-01
6.530000000000000249e+00 3.476158736096804369e-01 -1.707893122554135223e-01
6.640000000000000568e+00 3.288290492615849603e-01 -1.707893122554135223e-01
6.750000000000000000e+00 3.100422249134894837e-01 -1.707893122554135223e-01
6.750000000000000000e+00 3.100422249134894837e-01 -1.707893122554135223e-01
7.049999999999999822e+00 2.578977232832274091e-01 -1.766610708524391504e-01
7.349999999999999645e+00 2.041550785356330278e-01 -1.814380944091973646e-01
7.650000000000000355e+00 1.491473236138327052e-01 -1.850907806196978866e-01
7.950000000000000178e+00 9.321533110797212973e-02 -1.875964944825491698e-01
8.250000000000000000e+00 3.670570093263571948e-02 -1.889397085657236186e-01
8.250000000000000000e+00 3.670570093263571948e-02 -1.889397085657236186e-01
8.359999999999999432e+00 1.592233299040611560e-02 -1.889397085657236464e-01
8.470000000000000639e+00 -4.861034951823488270e-03 -1.889397085657236741e-01
8.580000000000000071e+00 -2.564440289405309215e-02 -1.889397085657237019e-01
8.689999999999999503e+00 -4.642777083628270296e-02 -1.889397085657237296e-01
8.800000000000000711e+00 -6.721113877851231377e-02 -1.889397085657237574e-01
8.800000000000000711e+00 -6.721113877851231377e-02 -1.889397085657237574e-01
9.200000000000001066e+00 -1.427761549865314561e-01 -1.888779665261774710e-01
9.310000000000000497e+00 -1.635527313044109754e-01 -1.888779665261774710e-01
9.420000000000001705e+00 -1.843293076222904947e-01 -1.888779665261774710e-01
9.530000000000001137e+00 -2.051058839401700140e-01 -1.888779665261774710e-01
9.640000000000000568e+00 -2.258824602580495333e-01 -1.888779665261774710e-01
9.750000000000001776e+00 -2.466590365759290526e-01 -1.888779665261774710e-01
9.750000000000001776e+00 -2.466590365759290526e-01 -1.888779665261774710e-01
1.005000000000000249e+01 -3.024996428384449931e-01 -1.832003817617726404e-01
1.035000000000000142e+01 -3.564657163751862035e-01 -1.763875390917220287e-01
1.065000000000000213e+01 -4.082228396973349716e-01 -1.684816564056671739e-01
1.095000000000000107e+01 -4.574502837602222871e-01 -1.595317249542579086e-01
1.125000000000000178e+01 -5.038429954601936211e-01 -1.495932057596650322e-01
1.125000000000000178e+01 -5.038429954601936211e-01 -1.495932057596650322e-01
1.136000000000000121e+01 -5.202982480937567988e-01 -1.495932057596650322e-01
1.147000000000000242e+01 -5.367535007273199765e-01 -1.495932057596650322e-01
1.158000000000000185e+01 -5.532087533608831542e-01 -1.495932057596650322e-01
1.169000000000000128e+01 -5.696640059944463319e-01 -1.495932057596650322e-01
1.180000000000000249e+01 -5.861192586280095096e-01 -1.495932057596650322e-01
1.180000000000000249e+01 -5.861192586280095096e-01 -1.495932057596650322e-01
1.200000000000000178e+01 -6.160554262699931005e-01 -1.497699376394117654e-01
1.200000000000000178e+01 -6.160554262699931005e-01 -1.497699376394117654e-01
1.220000000000000107e+01 -6.460278208270675560e-01 -1.499554766858235411e-01
1.231000000000000050e+01 -6.625229232625081677e-01 -1.499554766858235688e-01
1.242000000000000171e+01 -6.790180256979487794e-01 -1.499554766858235966e-01
1.253000000000000114e+01 -6.955131281333893911e-01 -1.499554766858235966e-01
1.264000000000000057e+01 -7.120082305688300028e-01 -1.499554766858235966e-01
1.275000000000000178e+01 -7.285033330042706146e-01 -1.499554766858235966e-01
1.275000000000000178e+01 -7.285033330042706146e-01 -1.499554766858235966e-01
1.305000000000000249e+01 -7.711863058619362610e-01 -1.344506410815612951e-01
1.335000000000000142e+01 -8.090903839267202802e-01 -1.181126404383541356e-01
1.365000000000000213e+01 -8.419806828394041931e-01 -1.010427182373040272e-01
1.395000000000000107e+01 -8.696533876761253223e-01 -8.334665353817401201e-02
1.425000000000000178e+01 -8.919370159506905260e-01 -6.513410548661063837e-02
1.425000000000000178e+01 -8.919370159506905260e-01 -6.513410548661063837e-02
1.436000000000000121e+01 -8.991017675542176679e-01 -6.513410548661063837e-02
1.447000000000000242e+01 -9.062665191577448098e-01 -6.513410548661063837e-02
1.458000000000000185e+01 -9.134312707612719517e-01 -6.513410548661063837e-02
1.469000000000000128e+01 -9.205960223647990937e-01 -6.513410548661063837e-02
1.480000000000000249e+01 -9.277607739683262356e-01 -6.513410548661063837e-02
1.480000000000000249e+01 -9.277607739683262356e-01 -6.513410548661063837e-02
1.520000000000000284e+01 -9.537042842009382237e-01 -6.458090301448185522e-02
1.531000000000000227e+01 -9.608081835325312792e-01 -6.458090301448184134e-02
1.542000000000000348e+01 -9.679120828641243346e-01 -6.458090301448184134e-02
1.553000000000000291e+01 -9.750159821957173900e-01 -6.458090301448184134e-02
1.564000000000000234e+01 -9.821198815273104454e-01 -6.458090301448184134e-02
1.575000000000000355e+01 -9.892237808589035009e-01 -6.458090301448184134e-02
1.575000000000000355e+01 -9.892237808589035009e-01 -6.458090301448184134e-02
1.605000000000000426e+01 -1.005513022080428254e+00 -4.395792516506703135e-02
1.635000000000000497e+01 -1.015571290437331742e+00 -2.306254841790348481e-02
1.665000000000000213e+01 -1.019336256754536540e+00 -2.024257446623677504e-03
1.695000000000000284e+01 -1.016784590252185705e+00 1.902657746286975579e-02
1.725000000000000355e+01 -1.007932103122052281e+00 3.995950829228706036e-02
1.725000000000000355e+01 -1.007932103122052281e+00 3.995950829228706036e-02
1.736000000000000298e+01 -1.003536557209900648e+00 3.995950829228706036e-02
1.747000000000000242e+01 -9.991410112977490154e-01 3.995950829228706036e-02
1.758000000000000185e+01 -9.947454653855974938e-01 3.995950829228706036e-02
1.769000000000000483e+01 -9.903499194734459721e-01 3.995950829228706036e-02
1.780000000000000426e+01 -9.859543735612944504e-01 3.995950829228706036e-02
1.780000000000000426e+01 -9.859543735612944504e-01 3.995950829228706036e-02
1.800000000000000355e+01 -9.779913829201987152e-01 3.967078833367881224e-02
1.800000000000000355e+01 -9.779913829201987152e-01 3.967078833367881224e-02
1.820000000000000284e+01 -9.700859027063762907e-01 3.938440120133793881e-02
1.831000000000000227e+01 -9.657536185742291446e-01 3.938440120133794575e-02
1.842000000000000171e+01 -9.614213344420819984e-01 3.938440120133795269e-02
1.853000000000000114e+01 -9.570890503099348523e-01 3.938440120133795963e-02
1.864000000000000412e+01 -9.527567661777877062e-01 3.938440120133795963e-02
1.875000000000000355e+01 -9.484244820456405600e-01 3.938440120133795963e-02
1.875000000000000355e+01 -9.484244820456405600e-01 3.938440120133795963e-02
1.905000000000000426e+01 -9.336827640671965245e-01 5.884293627704929863e-02
1.935000000000000497e+01 -9.131551916648784628e-01 7.793683287354098710e-02
1.965000000000000213e+01 -8.869689702987887392e-01 9.654776974686297975e-02
1.995000000000000284e+01 -8.552863709999087849e-01 1.145604184625699656e-01
2.025000000000000355e+01 -8.183037248073986580e-01 1.318631580640950707e-01
2.025000000000000355e+01 -8.183037248073986580e-01 1.318631580640950707e-01
2.036000000000000298e+01 -8.037987774203482205e-01 1.318631580640950429e-01
2.047000000000000242e+01 -7.892938300332977830e-01 1.318631580640950429e-01
2.058000000000000185e+01 -7.747888826462473455e-01 1.318631580640950429e-01
2.069000000000000483e+01 -7.602839352591969080e-01 1.318631580640950429e-01
2.080000000000000426e+01 -7.457789878721464705e-01 1.318631580640950429e-01
2.080000000000000426e+01 -7.457789878721464705e-01 1.318631580640950429e-01
2.120000000000000284e+01 -6.929480840146160503e-01 1.322861833918472230e-01
2.131000000000000227e+01 -6.783966038415129018e-01 1.322861833918472230e-01
2.142000000000000171e+01 -6.638451236684097534e-01 1.322861833918472230e-01
2.153000000000000114e+01 -6.492936434953066049e-01 1.322861833918472230e-01
2.164000000000000412e+01 -6.347421633222034565e-01 1.322861833918472230e-01
2.175000000000000355e+01 -6.201906831491003080e-01 1.322861833918472230e-01
2.175000000000000355e+01 -6.201906831491003080e-01 1.322861833918472230e-01
2.205000000000000426e+01 -5.786242223940355478e-01 1.446803665272629602e-01
2.235000000000000497e+01 -5.334721374358223356e-01 1.561779929616891327e-01
2.265000000000000213e+01 -4.850142271532207894e-01 1.667078140919347751e-01
2.295000000000000284e+01 -4.335507759954779772e-01 1.762045786201064390e-01
2.325000000000000355e+01 -3.794006931767396895e-01 1.846094369035041483e-01
2.325000000000000355e+01 -3.794006931767396895e-01 1.846094369035041483e-01
2.336000000000000298e+01 -3.590936551173542490e-01 1.846094369035041483e-01
2.347000000000000242e+01 -3.387866170579688085e-01 1.846094369035041483e-01
2.358000000000000185e+01 -3.184795789985833681e-01 1.846094369035041483e-01
2.369000000000000483e+01 -2.981725409391979276e-01 1.846094369035041483e-01
2.380000000000000426e+01 -2.778655028798124871e-01 1.846094369035041483e-01
2.380000000000000426e+01 -2.778655028798124871e-01 1.846094369035041483e-01
2.400000000000000355e+01 -2.409514235266717874e-01 1.845331655497648438e-01
2.400000000000000355e+01 -2.409514235266717874e-01 1.845331655497648438e-01
2.420000000000000284e+01 -2.040515132342826665e-01 1.844677456016536599e-01
2.431000000000000227e+01 -1.837600612181007620e-01 1.844677456016536321e-01
2.442000000000000171e+01 -1.634686092019188575e-01 1.844677456016536043e-01
2.453000000000000114e+01 -1.431771571857369807e-01 1.844677456016535766e-01
2.464000000000000412e+01 -1.228857051695550762e-01 1.844677456016535766e-01
2.475000000000000355e+01 -1.025942531533731855e-01 1.844677456016535766e-01
2.475000000000000355e+01 -1.025942531533731855e-01 1.844677456016535766e-01
2.505000000000000426e+01 -4.699321833121465619e-02 1.860142850280288307e-01
2.535000000000000497e+01 8.899024522878409144e-03 1.864081293256597271e-01
2.565000000000000213e+01 6.473612181534839360e-02 1.856468379163735138e-01
2.595000000000000284e+01 1.201720616791888963e-01 1.837351283781716027e-01
2.625000000000000355e+01 1.748633181436447803e-01 1.806848472112916881e-01
2.625000000000000355e+01 1.748633181436447803e-01 1.806848472112916881e-01
2.636000000000000298e+01 1.947386513368868644e-01 1.806848472112916881e-01
2.647000000000000242e+01 2.146139845301289484e-01 1.806848472112916881e-01
2.658000000000000185e+01 2.344893177233710324e-01 1.806848472112916881e-01
2.669000000000000483e+01 2.543646509166130887e-01 1.806848472112916881e-01
2.680000000000000426e+01 2.742399841098551727e-01 1.806848472112916881e-01
2.680000000000000426e+01 2.742399841098551727e-01 1.806848472112916881e-01
2.720000000000000284e+01 3.464788373051742587e-01 1.805023388064649625e-01
2.731000000000000227e+01 3.663340945738853827e-01 1.805023388064649625e-01
2.742000000000000171e+01 3.861893518425965066e-01 1.805023388064649625e-01
2.753000000000000114e+01 4.060446091113076306e-01 1.805023388064649625e-01
2.764000000000000412e+01 4.258998663800187545e-01 1.805023388064649625e-01
2.775000000000000355e+01 4.457551236487298785e-01 1.805023388064649625e-01
2.775000000000000355e+01 4.457551236487298785e-01 1.805023388064649625e-01
2.805000000000000426e+01 4.984687569569574705e-01 1.707402949388591162e-01
2.835000000000000497e+01 5.480934742290364259e-01 1.599202059526831088e-01
2.865000000000000213e+01 5.943217605348269927e-01 1.481091218805089538e-01
2.895000000000000284e+01 6.368671479806056190e-01 1.353802337628550734e-01
2.925000000000000355e+01 6.754659908960819470e-01 1.218124200972999921e-01
2.925000000000000355e+01 6.754659908960819470e-01 1.218124200972999921e-01
2.936000000000000298e+01 6.888653571067849812e-01 1.218124200972999782e-01
2.947000000000000242e+01 7.022647233174880155e-01 1.218124200972999643e-01
2.958000000000000185e+01 7.156640895281910497e-01 1.218124200972999505e-01
2.969000000000000483e+01 7.290634557388940840e-01 1.218124200972999366e-01
2.980000000000000426e+01 7.424628219495971182e-01 1.218124200972999366e-01
2.980000000000000426e+01 7.424628219495971182e-01 1.218124200972999366e-01
3.000000000000000355e+01 7.668473748677465673e-01 1.220343040144671737e-01
3.000000000000000355e+01 7.668473748677465673e-01 1.220343040144671737e-01
3.020000000000000284e+01 7.912770219666344085e-01 1.222633641144601768e-01
3.031000000000000227e+01 8.047259920192250116e-01 1.222633641144601907e-01
3.042000000000000171e+01 8.181749620718156146e-01 1.222633641144601907e-01
3.053000000000000114e+01 8.316239321244062177e-01 1.222633641144601907e-01
3.064000000000000412e+01 8.450729021769968208e-01 1.222633641144601907e-01
3.075000000000000355e+01 8.585218722295874239e-01 1.222633641144601907e-01
3.075000000000000355e+01 8.585218722295874239e-01 1.222633641144601907e-01
3.105000000000000426e+01 8.925029431535257407e-01 1.041600504701713781e-01
3.135000000000000497e+01 9.209533431679246540e-01 8.541127681311919129e-02
3.165000000000000213e+01 9.436967705575534104e-01 6.613322572606911143e-02
3.195000000000000284e+01 9.605922886305919839e-01 4.644535962329621182e-02
